PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20251252;12;2025;8435970;1;2;1;70;;2;404.543698;08;1;;;;;2;5;;2000000;1;;6;2;3;1;4;2;2;;2;;.;2411;47;4752
20251252;12;2025;8435971;1;1;1;70;;2;287.7855092;08;1;;;;;;;;;1;;372;1;5;2;10;2;3;;2;;.;8332;36;3600
20251252;12;2025;8435972;1;1;1;70;;2;287.7855092;08;1;;;;;;;;;1;;408;0;5;4;1;2;3;;2;;.;3324;46;4620
20251252;12;2025;8435973;1;1;1;70;;2;226.66143892;08;1;;;;;;;;;1;;96;1;3;4;1;2;2;;2;;.;5120;56;5611
20251252;12;2025;8435974;1;2;1;70;;2;479.55661402;08;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435977;1;3;1;70;;2;1668.1942532;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435977;1;4;1;70;;2;1668.1942532;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435978;1;1;1;70;;2;1824.8978165;13;1;;;;;2;5;;600000;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435978;1;3;1;70;;2;1824.8978165;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435979;1;4;1;70;;2;1282.8815212;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435980;1;3;1;70;;2;2096.5080099;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435981;1;2;1;70;;2;1614.7297622;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435982;1;2;1;70;;2;1638.1312581;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435982;1;3;1;70;;2;1638.1312581;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435982;1;4;1;70;;2;1638.1312581;13;1;;;;;2;4;;300000;1;;2;0;8;3;1;2;2;;2;;.;9111;97;9700
20251252;12;2025;8435982;1;10;1;70;;2;1638.1312581;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435983;1;1;1;70;;2;1634.0006887;13;1;;;;;2;5;;800000;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435984;1;1;1;70;;2;2087.6986181;13;1;;;;;1;;40;1000000;1;;12;0;7;4;1;2;2;;2;;.;9520;47;4789
20251252;12;2025;8435985;1;1;1;70;;2;1295.0479503;13;1;;;;;;;;;1;;360;0;4;4;1;2;2;;2;;.;7531;14;1410
20251252;12;2025;8435987;1;1;1;70;;2;1295.0479503;13;1;;;;;2;5;;500000;1;;0;3;7;4;1;2;2;;2;;.;5221;56;5619
20251252;12;2025;8435988;1;1;1;70;;2;1424.5527453;13;1;;;;;;;;;1;;120;0;4;4;1;2;2;;2;;.;9121;96;9601
20251252;12;2025;8435989;1;2;1;70;;2;1675.5280041;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435989;1;3;1;70;;2;1675.5280041;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435991;1;3;1;70;;2;2136.7845803;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435991;1;6;1;70;;2;2136.7845803;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435993;1;1;1;70;;2;1335.8725496;13;1;;;;;;;;;1;;360;0;3;3;1;2;2;;2;;.;9111;97;9700
20251252;12;2025;8435994;1;2;1;70;;2;2361.4673103;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435994;1;7;1;70;;2;2361.4673103;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435996;1;1;1;70;;2;1207.0035935;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435996;1;2;1;70;;2;1207.0035935;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435996;1;6;1;70;;2;1207.0035935;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435997;1;1;1;70;;2;1424.5527453;13;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8435998;1;1;1;70;;2;521.23695045;70;1;;;;;1;;12;300000;1;;96;0;4;4;1;2;2;;2;;.;9121;96;9601
20251252;12;2025;8435998;1;2;1;70;;2;521.23695045;70;1;;;;;2;5;;500000;1;;36;0;4;4;1;2;2;;2;;.;5212;56;5619
20251252;12;2025;8435999;1;3;1;70;;2;1040.5419111;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
20251252;12;2025;8436000;1;1;1;70;;2;845.53145164;70;1;;;;;;;;;1;;84;0;5;4;1;2;2;;2;;.;6111;01;0113
20251252;12;2025;8436000;1;5;1;70;;2;845.53145164;70;1;;;;;;;;;2;;;;;;;;2;;2;;.;.;;.
