PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20251252;12;2025;8435963;1;1;1;60;;2;101.66138327;08;1;311;2;;;;;;;;;;;;204;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;1800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1200000;1;10000000;3;;1;1;9;90;;;90;;;1;8;;2;;2;;;;2;2;1;8;2;1;;1;;2;;;;;;;;1;20;2;1;1;2;1;2;1;2;2;2;2;2;;1;1;1;2;1;2;2;1;9;;5;8;;1;1200000;03;0311;6223
20251252;12;2025;8435963;1;2;1;60;;2;101.66138327;08;1;5611;2;;;;;;;;;;;;60;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;2;7;;2;;2;;;;2;2;1;18;24;1;;9;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;11;;20;3;;1;;56;5611;9412
20251252;12;2025;8435964;1;1;1;60;;2;78.402590074;08;1;311;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;2000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1500000;1;12000000;3;;3;2;12;54;;;54;;;1;8;;2;;2;;;;2;2;2;;;;;;;1;35;5223;4711;4;500000;1;1;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;30;3;;1;2000000;03;0311;6222
20251252;12;2025;8435965;1;1;1;60;;2;78.402590074;08;1;311;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;2400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1800000;1;19600000;3;;9;2;12;48;;;48;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;25;3;;1;1800000;03;0311;6222
20251252;12;2025;8435966;1;1;1;60;;2;78.402590074;08;1;311;2;;;;;;;;;;;;600;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;3000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;2400000;1;28800000;3;;3;2;12;56;;;56;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;20;3;;1;2400000;03;0311;6222
20251252;12;2025;8435967;1;1;1;60;;2;114.41723788;08;1;311;2;;;;;;;;;;;;420;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;2000000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1500000;1;18000000;3;;9;2;12;56;;;56;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;30;9;;1;1500000;03;0311;6223
20251252;12;2025;8435968;1;1;1;60;;2;78.402590074;08;1;311;2;;;;;;;;;;;;468;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;2100000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1400000;1;16800000;3;;1;2;12;42;;;42;;;1;8;;2;;2;;;;2;2;1;0;84;1;;3;;1;21;9611;3830;4;250000;1;6;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;9;;25;3;;1;1650000;03;0311;6222
20251252;12;2025;8435969;1;1;1;60;;2;81.534612853;08;1;5611;2;;;;;;;;;;;;144;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;0;0;3;1;1;1;7;;;;;;;;;;;1;9000000;1;2400000;2400000;0;300000;0;;;;;;;;;;;;;;;;;;1;1;2025;1;1;2250000;1;27000000;3;;6;2;12;56;;;56;;;2;7;;2;;2;;;;2;2;1;1;84;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;3;3;;1;2250000;56;5611;1412
20251252;12;2025;8435970;1;1;1;60;;2;404.543698;08;1;7820;1;2;1;;1;;1;;1;2;1;1;12;1;;1;1;1;1;2;2;1800000;2;;2;;;2;;2;;2;;2;;2;;;1;200000;1;1;84000;2;2;;;2;;;2;;;1;1361000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;10;7;;1;;1;2;1;11;1;1;1;0;120;1;;2;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;1;;30;5;;1;1800000;78;7820;4415
20251252;12;2025;8435973;1;2;1;60;;2;226.66143892;08;1;145;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;1400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;9600000;3;;6;2;12;40;;;40;;;2;8;;2;;2;;;;2;2;1;2;196;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;10;2;;1;800000;01;0145;6122
20251252;12;2025;8435974;1;1;1;60;;2;479.55661402;08;1;161;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;240000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;220000;1;2000000;3;;1;1;12;56;;;36;6;;1;8;;5;;2;;;;2;2;1;36;132;1;;3;;2;;;;;;;;1;14;2;1;1;2;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;11;;20;3;;1;220000;01;0161;9211
