"no_de_solicitud","fecha_de_creaci_n","tipo_de_solicitud","es_anonima","descripci_n_de_la_solicitud","estado","fue_delegada","origen"
"373146174602","05 octubre 2023 10:45:48","Petición","SI","solicito d manera cordial quien me puede regalar informacion de como hago para adquirir una copia del impuesto predial gracias","Abierta","SI","PQRDS"
"373135258606","04 octubre 2023 07:23:49","Sugerencia","SI","Buenas noches por favor necesito descargar el impuesto predial del 2022 me podrían colaborar por fa como lo hago muchas gracias","Cerrada","SI","Chat"
"373125238502","02 octubre 2023 12:04:41","Petición","SI","Ibagué, 02 de octubre de 2023

Señores
Alcaldía Municipal de Flandes (Tol)

REF. Solicitud declaración de industria y comercio

DEISY ARANGO SUSUNAGA identificada con cédula de ciudadanía no 65.780.553 como Representante Legal de la sociedad MEDIGEN COMERCIALIZADORA SAS NIT. 900.444.280, solicito se sirva
informar si ante la secretaría de hacienda municipal o la dependencia que haga sus veces reposa la
respectiva presentación y pago de la declaración del impuesto de industria y comercio por la
vigencia gravable 2014 a nombre de la sociedad descrita.

De ser así, favor remitir al correo electrónico: asistente.gerencia@medigen.com.co, copia de las
mismas.
Lo anterior se requiere para dar respuesta a un requerimiento de la administración tributaria de
Ibagué.

Agradezco la atención prestada y en espera de su pronta y oportuna respuesta.

Atentamente,

DEISY ARANGO SUSUNAGA
C.C. 65.780.553
Representante Legal
MEDIGEN COMERCIALIZADORA SAS","Cerrada","SI","PQRDS"
"373119357902","30 septiembre 2023 09:35:04","Petición","SI","Cordial Saludo, la presente es para solicitar el impuesto predial correspondiente al año 2023  del inmueble ubicado en Aragón lll casa M2  factura de referencia del inmueble 2021021424 a nombre de María del Carmen Martínez de Tifaro cc 20251108 si es posible enviarla al correo caro.tifaro@hotmail.com. 
y a la vez para solicitar un paz y salvo de que estamos al día en impuestos para un tramite de juicio de sucesión como lo puedo solicitar ya que mi residencia es Bogotá y me queda difícil  ir entre semana por temas laborales si es posible con quien puedo hablar o a donde debo escribir  para dicho tramite 
quedo  pendiente de la solicitud 

mil gracias 

Carolina Rodríguez Tifaro
3173271363","Cerrada","SI","PQRDS"
"373109503202","29 septiembre 2023 01:46:17","Petición","SI","Solicitud de corrección información exógena de la DIAN del año 2022, por venta de terreno en el año 2021.
Gracias.","Abierta","SI","PQRDS"
"373092147302","18 septiembre 2023 10:37:14","Petición","SI","Estimados miembros del Honorable Concejo Municipal de Flandes - Tolima,
SECRETARÍA DE ASUNTOS AGROPECUARIOS

Me dirijo a ustedes para solicitar su atención y apoyo en un tema que considero de gran importancia para nuestra comunidad. En el conjunto residencial Puerto Bahia Etapa 1, hemos identificado la presencia de más de 10 a 15 gatos que se encuentran en situación de abandono, presentando incomodidades por salud pública en el conjunto y que requieren de nuestra ayuda para garantizar su bienestar.

En este sentido, me permito solicitar su colaboración para que se aplique la política pública de protección y bienestar animal del municipio de Flandes - Tolima, en particular la campaña de esterilización de animales domésticos que se encuentra contemplada en dicha política. Considero que esta medida es fundamental para controlar la población de gatos en nuestro conjunto residencial y evitar su reproducción descontrolada, lo que podría generar problemas de salud pública y bienestar animal.

Por lo anterior, solicito respetuosamente que se realice una jornada de esterilización y recolección para los gatos que se encuentran en situación de abandono en nuestro conjunto residencial, en el marco de las políticas públicas de protección y bienestar animal del municipio de Flandes - Tolima. Estoy convencido de que esta medida contribuirá significativamente al bienestar de estos animales y a la construcción de una sociedad más justa y respetuosa con nuestros amigos peludos.

Agradezco de antemano su atención y apoyo en este importante tema.","Cerrada","SI","PQRDS"
"373082697202","16 septiembre 2023 03:21:59","Petición","SI","Buen Dia solictamos de su ayuda para un paz y salvo de impuesto predial del numero catastral 010303170010801 a nombre de ferney poveda vaca","Cerrada","SI","PQRDS"
"373078851902","16 septiembre 2023 12:06:24","Petición","NO","Desde un periodo aproximado desde hace tres meses, la empresa encargada de recolectar las basuras en el sector del barrio ciudadela comfenalco, donde esta establecido el horario de recoleccion de la basura los dias martes, jueves y sabado a las 06:00 horas 


En el barrio tenemos la problematica  general en la recoleccion de la basura, debido a que no estan realizando la recoleccion de la misma. En horas de la mañana y esto genera que las aves de rapiña, perros y gatos. Rieguen la basura en las calles. Lo que genera que se rieguen bacterias y las personas que transitan por el sector las movilicen hasta sus residencias. Asi mismo los niños niñas y adolescentes.

Los hedores son demasiado fuertes. Esto genera enferemedades por virus en el ambiente","Cerrada","SI","PQRDS"
"373061797506","14 septiembre 2023 06:13:32","Sugerencia","SI","Por favor me puede indicar como liquidar y pagar la retencion de ica en Flandes y cual es el calendario tribuario. Gracias","Cerrada","SI","Chat"
"373051419801","13 septiembre 2023 04:48:49","Solicitud de información","NO","Cordial saludo, 

Mi nombre es Ximena Higuera, Directora de Comunicaciones de Hope Projects. 

A través del presente correo electrónico quisiera solicitar de manera respetuosa una base de datos actualizada de las instituciones educativas oficiales y privadas del municipio. En Hope, nos encontramos organizando un evento a nivel Tolima y Cundinamarca y deseamos extender la invitación a todas las instituciones de la región para que puedan participar. 

De antemano agradezco su atención y colaboración. Estaré atenta a sus comentarios.","Abierta","SI","PQRDS"
